Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
449	197	61	242	64
450	209	64	252	233
451	258	64	245	243
452	258	51	255	230
453	51	242	237	230
454	255	48	242	243
455	245	64	242	230
456	258	48	215	230
457	218	61	85	64
458	224	243	51	242
459	255	48	242	458
460	800	61	221	227
461	245	64	255	230
462	258	51	239	243
463	51	255	242	230
464	245	51	258	230
465	242	64	242	230
466	242	61	255	221
467	64	258	239	240
468	258	48	255	230
469	291	64	252	230
470	242	61	255	230
471	252	64	255	230
472	48	242	255	227
473	255	51	245	243
474	245	64	221	230
475	261	51	151	64
476	218	230	54	258
477	194	64	218	64
478	255	51	239	458
479	224	51	255	230
480	258	64	227	243
481	51	248	252	230
482	51	51	255	230
483	258	51	239	224
484	242	64	252	227
485	218	64	258	230
486	64	255	245	234
487	245	61	255	230
488	388	64	255	230
489	242	51	255	227
490	51	51	242	243
491	61	242	245	243
492	242	61	218	243
493	218	61	215	230
494	242	61	164	51
495	258	224	64	255
496	197	64	255	51
497	591	48	539	243
498	255	64	239	243
499	218	64	258	230
500	64	245	239	227
501	245	64	255	227
502	215	64	255	230
503	261	61	245	221
504	258	51	242	243
505	51	221	242	230
506	245	48	255	221
507	488	64	255	233
508	243	51	151	64
509	242	243	54	242
510	258	48	242	64
511	242	64	224	240
512	245	51	255	230
513	245	64	252	230
514	64	218	218	237
515	51	64	255	230
516	242	51	258	594
517	245	61	215	240
518	255	51	255	64
519	255	230	67	255
520	242	64	258	221
521	258	51	242	243
522	245	61	255	230
523	264	64	255	221
524	48	245	255	230
525	255	51	245	243
526	554	64	252	221
527	255	51	245	243
528	48	242	255	230
529	255	51	242	243
530	242	64	258	230
531	255	51	242	240
532	261	61	67	242
533	242	237	54	903
534	245	64	258	230
535	255	51	242	224
536	258	61	242	243
537	245	64	252	230
538	64	255	242	231
539	245	64	255	227
540	258	64	239	227
541	245	61	255	230
542	64	255	242	243
543	51	51	242	243
544	242	61	258	230
545	615	64	255	233
546	255	64	242	230
547	64	245	242	243
548	258	61	245	230
549	242	64	255	230
550	255	64	242	230
551	48	245	255	230
552	61	64	215	234
553	242	64	252	227
554	258	51	242	243
555	245	61	218	243
556	64	255	242	243
557	221	64	242	233
558	255	51	218	230
559	258	61	242	243
560	64	64	242	227
561	61	258	255	221
562	258	51	242	243
563	218	64	242	243
564	245	64	246	221
565	64	258	242	243
566	51	51	221	230
567	242	61	255	227
568	242	51	258	230
569	255	61	224	64
570	242	243	54	233
571	261	48	218	64
572	245	64	218	230
573	245	64	258	227
574	245	61	258	230
575	48	258	255	227
576	245	64	255	233
577	255	51	242	240
578	242	61	164	64
579	255	230	67	255
580	230	48	242	61
581	245	61	255	230
582	258	61	242	243
583	245	48	285	243
584	48	258	242	230
585	258	48	242	230
586	258	51	245	243
587	248	61	255	230
588	258	61	54	48
589	258	233	67	64
590	245	64	215	237
591	245	61	255	230
592	242	64	218	243
593	51	245	258	230
594	64	61	255	227
595	255	48	215	230
596	258	48	242	243
597	218	64	242	243
