Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
7229	255	51	257	243
7230	51	255	242	230
7231	258	48	242	221
7232	242	64	239	221
7233	245	61	255	230
7234	48	51	258	230
7235	61	258	245	234
7236	242	64	218	237
7237	224	64	255	230
7238	255	64	148	48
7239	245	243	54	242
7240	579	397	255	61
7241	242	48	255	230
7242	245	61	258	230
7243	245	61	215	227
7244	230	51	255	230
7245	61	242	255	230
7246	258	64	239	240
7247	245	64	252	236
7248	255	51	345	64
7249	245	243	54	215
7250	191	64	255	48
7251	245	64	255	230
7252	258	51	245	231
7253	245	64	255	230
7254	64	255	242	240
7255	245	61	218	221
7256	242	64	258	230
7257	242	64	255	230
7258	64	64	245	227
7259	64	258	255	230
7260	255	51	258	230
7261	242	64	255	230
7262	242	51	255	230
7263	64	255	221	243
7264	51	51	242	243
7265	215	64	242	243
7266	245	61	215	243
7267	245	61	406	243
7268	64	242	255	227
7269	64	64	255	230
7270	242	64	255	230
7271	255	64	242	243
7272	242	61	255	51
7273	258	230	64	255
7274	245	64	255	51
7275	755	51	245	243
7276	242	61	255	230
7277	258	48	245	243
7278	48	245	255	230
7279	258	51	239	230
7280	245	64	255	230
7281	258	48	215	230
7282	64	258	239	243
7283	258	48	242	243
7284	218	51	215	230
7285	261	51	242	243
7286	215	51	54	51
7287	242	243	54	154
7288	245	64	252	230
7289	258	51	245	243
7290	242	64	215	243
7291	66	48	242	240
7292	64	255	255	227
7293	245	64	255	218
7294	258	48	245	243
7295	218	64	239	48
7296	51	258	239	221
7297	64	51	242	243
7298	231	51	242	243
7299	242	64	255	221
7300	245	61	242	230
7301	48	218	221	243
7302	242	64	258	230
7303	215	51	242	243
7304	245	61	221	246
7305	48	51	239	458
7306	64	255	242	240
7307	242	64	224	243
7308	245	51	255	230
7309	255	51	242	64
7310	258	230	67	218
7311	178	51	258	64
7312	697	64	218	243
7313	255	64	242	221
7314	245	61	258	230
7315	64	258	242	227
7316	255	51	242	243
7317	245	64	255	230
7318	242	64	252	230
7319	137	64	242	243
7320	64	245	242	227
7321	258	61	242	243
7322	218	61	245	230
7323	245	64	255	230
7324	51	245	255	442
7325	258	51	242	243
7326	245	64	258	230
7327	255	51	218	230
7328	258	51	54	51
7329	243	230	64	170
7330	245	64	231	230
7331	255	48	242	234
7332	215	51	242	240
7333	131	51	242	234
7334	51	245	255	233
7335	215	64	255	230
7336	258	48	242	234
7337	255	51	151	61
7338	242	230	54	239
7339	203	61	255	48
7340	258	51	242	243
7341	221	61	258	230
7342	245	61	255	230
7343	61	242	239	458
7344	51	61	231	218
7345	245	48	255	230
7346	258	61	245	230
7347	242	64	252	227
7348	64	258	1242	243
7349	255	48	242	227
7350	258	61	245	230
7351	245	64	218	230
7352	61	255	242	243
7353	64	64	242	243
7354	255	64	242	227
7355	245	64	255	230
7356	218	64	255	233
7357	64	258	242	234
7358	245	61	245	233
7359	218	48	242	243
7360	228	51	242	64
7361	245	230	51	255
7362	197	61	230	64
7363	245	61	255	227
7364	255	51	245	230
7365	255	64	215	243
7366	61	258	242	243
7367	258	61	242	243
7368	255	48	215	230
7369	245	64	255	230
7370	48	245	252	233
7371	64	64	252	218
7372	436	64	255	233
7373	258	64	245	227
7374	261	64	245	60
7375	264	255	76	261
7376	236	51	197	51
7377	260	60	200	221
7378	254	51	248	249
7379	258	64	327	248
7380	261	233	437	227
7381	248	57	194	221
7382	-1	-1	-1	-1
7383	200	67	197	257
7384	251	64	197	397
7385	261	70	497	315
7386	200	54	218	218
7387	233	64	255	251
7388	51	194	218	203
7389	73	64	197	246
7390	197	54	224	224
7391	609	54	221	206
7392	236	67	227	233
7393	51	218	255	206
7394	64	64	237	203
7395	206	64	194	70
7396	206	54	215	203
7397	206	51	218	64
7398	240	218	76	243
7399	215	64	70	218
7400	200	67	243	227
7401	200	54	194	224
7402	203	63	197	203
7403	57	236	200	242
7404	264	73	194	206
7405	194	54	197	227
7406	233	51	221	203
7407	51	197	264	200
7408	79	54	224	224
7409	245	64	194	318
7410	633	51	224	276
7411	197	51	224	67
7412	206	234	57	227
7413	203	57	230	231
7414	270	73	203	243
7415	245	64	270	240
7416	239	60	254	245
7417	51	233	200	184
7418	203	67	197	197
7419	218	70	197	206
7420	248	200	233	230
7421	227	224	233	221
7422	1097	64	224	206
7423	197	64	224	231
7424	200	70	243	230
7425	57	221	318	231
7426	127	264	200	337
7427	206	63	200	291
7428	236	69	267	197
7429	621	73	200	267
7430	206	67	270	203
7431	212	57	203	245
7432	70	303	206	234
7433	70	261	312	272
7434	261	67	261	200
7435	264	64	288	261
7436	251	70	224	197
7437	221	64	255	230
7438	237	51	67	61
7439	218	200	64	255
7440	227	203	67	227
7441	333	64	291	61
7442	218	48	224	209
7443	191	64	218	243
7444	181	51	243	206
7445	218	61	194	212
7446	64	194	221	209
7447	200	51	245	249
7448	218	61	273	218
7449	203	61	218	221
7450	221	51	191	227
7451	218	64	64	64
7452	264	221	67	194
7453	227	200	221	48
7454	203	64	231	218
7455	242	61	215	273
7456	224	64	191	203
7457	1124	64	403	218
7458	51	197	242	246
7459	-1	-1	-1	-1
7460	-1	-1	-1	-1
7461	-1	-1	-1	-1
7462	-1	-1	-1	-1
7463	-1	-1	-1	-1
7464	-1	-1	-1	-1
7465	76	209	270	264
7466	57	227	270	264
7467	206	64	306	254
7468	261	57	421	264
7469	225	63	267	224
7470	267	79	261	251
7471	234	57	157	57
7472	206	218	70	249
7473	315	261	67	261
7474	273	224	182	70
7475	261	70	200	240
7476	246	57	203	424
7477	234	54	230	218
7478	233	64	258	221
7479	134	61	224	333
7480	79	230	246	200
7481	243	57	221	243
7482	236	70	184	224
7483	261	73	197	215
7484	227	70	394	246
7485	200	60	251	218
7486	67	264	379	203
7487	200	64	203	200
7488	242	106	282	218
7489	200	54	181	603
7490	197	48	194	230
7491	230	51	261	64
7492	228	203	51	194
7493	233	243	54	191
7494	924	48	279	51
7495	242	64	200	219
7496	242	61	194	206
7497	224	64	191	221
7498	255	51	230	227
7499	51	227	206	209
7500	61	197	246	221
7501	221	64	224	240
7502	194	64	194	206
7503	227	61	197	243
7504	228	51	154	64
7505	318	621	64	61
7506	218	221	54	245
7507	242	224	54	51
7508	194	64	218	234
7509	255	64	191	218
7510	224	64	252	239
7511	245	61	224	243
7512	255	48	255	206
7513	64	258	242	230
7514	194	61	258	221
7515	194	51	239	227
7516	255	51	245	246
7517	258	70	200	230
7518	264	70	197	240
7519	233	70	234	254
7520	63	224	630	248
7521	230	64	236	245
7522	221	51	255	218
7523	257	82	224	200
7524	209	70	640	194
7525	240	73	261	67
7526	221	246	70	200
7527	270	264	73	264
7528	264	176	233	54
7529	245	70	261	264
7530	261	63	245	1276
7531	194	61	194	225
7532	194	51	221	209
7533	218	51	194	203
7534	48	194	194	219
7535	215	64	191	249
7536	245	61	255	209
7537	258	51	242	203
7538	242	64	258	230
7539	245	51	164	64
7540	245	246	51	245
7541	215	243	215	161
7542	194	243	197	103
7543	242	64	255	442
7544	258	61	242	240
7545	245	61	255	230
7546	255	61	230	243
7547	255	48	255	294
7548	64	258	221	230
7549	48	242	215	240
7550	255	64	239	234
7551	218	61	242	234
7552	258	48	242	243
7553	248	48	255	230
7554	255	51	157	51
7555	258	230	64	255
7556	255	230	67	255
7557	242	243	151	64
7558	258	61	215	227
7559	255	64	215	243
7560	218	61	255	230
7561	255	230	228	227
7562	245	230	627	243
7563	218	51	245	243
7564	64	51	242	234
7565	51	258	255	230
7566	218	61	255	230
7567	242	64	255	1160
7568	218	61	242	230
7569	249	48	245	243
7570	61	242	242	230
7571	255	64	245	243
7572	330	64	230	230
7573	255	48	221	230
7574	191	61	242	230
7575	64	255	245	243
7576	242	64	218	230
7577	245	51	258	230
7578	227	61	245	243
7579	64	218	239	230
7580	51	48	242	227
7581	215	64	258	506
7582	242	61	255	221
7583	255	48	221	64
7584	218	224	67	255
7585	194	64	252	51
7586	255	61	242	243
7587	245	64	258	230
7588	242	64	255	227
7589	64	242	242	230
7590	255	61	218	243
7591	397	64	255	233
7592	258	61	242	227
7593	242	64	109	48
7594	258	233	54	255
7595	242	64	255	233
7596	258	48	245	240
7597	245	61	258	230
7598	255	64	245	230
7599	51	245	258	218
7600	258	48	242	582
7601	245	61	255	230
7602	255	64	148	51
7603	242	243	51	242
7604	258	48	872	64
7605	245	64	255	227
7606	255	51	242	240
7607	258	64	242	230
7608	164	64	242	243
7609	51	245	255	230
7610	509	61	258	230
7611	245	64	242	230
7612	255	48	242	243
7613	64	258	215	230
7614	64	61	255	230
7615	258	61	245	230
7616	255	51	218	230
7617	258	51	215	64
7618	218	243	51	242
7619	258	51	245	64
7620	255	51	255	227
7621	231	48	245	243
7622	245	61	255	221
7623	61	261	239	243
7624	230	64	258	230
7625	255	48	242	243
7626	242	64	255	233
7627	258	48	54	64
7628	245	243	54	242
7629	591	64	252	233
7630	242	61	215	233
7631	245	51	255	227
7632	258	64	252	230
7633	64	245	233	227
7634	242	64	252	233
7635	255	48	245	240
7636	242	64	161	48
7637	261	230	64	255
7638	194	51	242	61
7639	321	61	679	230
7640	255	64	242	243
7641	245	64	255	227
7642	64	258	242	243
7643	51	48	242	243
7644	245	64	255	230
7645	242	64	252	91
7646	255	64	245	243
7647	48	245	252	245
7648	637	48	242	240
7649	242	64	255	230
7650	255	51	242	243
7651	242	61	67	64
7652	255	230	64	255
7653	245	61	255	230
7654	258	48	215	230
7655	258	61	218	246
7656	215	51	258	227
7657	51	242	258	227
7658	255	48	242	243
7659	218	48	242	243
7660	255	61	242	234
7661	51	245	258	230
7662	215	64	252	227
7663	255	64	242	239
7664	242	64	255	233
7665	273	64	255	230
7666	64	248	242	230
7667	245	64	215	243
7668	245	64	218	230
7669	245	64	164	48
7670	242	243	67	245
7671	197	64	227	51
7672	258	51	255	230
7673	258	51	242	243
7674	245	64	218	221
7675	61	258	242	230
7676	345	64	770	458
7677	242	64	255	221
7678	242	64	252	233
7679	248	48	255	64
7680	245	243	54	239
7681	255	64	245	64
7682	242	64	239	233
7683	258	48	245	243
7684	242	64	255	230
7685	61	258	239	243
7686	245	61	324	243
7687	242	51	255	64
7688	255	64	242	75
7689	245	51	67	255
7690	242	246	54	51
7691	245	61	215	243
7692	245	61	255	230
7693	242	64	228	221
7694	51	242	215	243
7695	51	48	242	243
7696	237	51	245	243
7697	242	64	258	227
7698	242	61	242	51
7699	218	240	54	242
7700	194	61	258	51
7701	242	61	258	230
7702	218	64	255	230
7703	230	61	258	221
7704	51	245	252	233
7705	48	51	506	230
7706	255	51	242	227
7707	245	64	255	230
7708	258	48	243	230
7709	64	258	242	230
7710	255	51	242	230
7711	255	64	218	243
7712	258	51	245	234
7713	336	64	255	230
7714	61	242	249	227
7715	242	61	258	230
7716	245	61	255	230
7717	258	48	242	134
7718	245	51	64	255
7719	258	230	67	64
7720	261	61	242	221
7721	255	64	245	230
7722	215	64	242	233
7723	230	61	255	230
7724	51	242	494	243
7725	255	51	242	240
7726	258	64	242	246
7727	258	61	245	239
7728	245	64	64	255
7729	261	230	64	64
7730	245	64	252	230
7731	258	51	242	218
7732	258	51	242	243
7733	51	51	242	243
7734	51	64	231	230
7735	258	51	242	243
7736	242	64	255	230
7737	255	51	215	233
7738	48	258	242	230
7739	221	51	258	230
7740	242	64	224	227
7741	218	61	258	64
7742	215	51	54	51
7743	242	243	54	242
7744	245	64	255	227
7745	218	64	242	230
7746	258	51	242	218
7747	245	64	255	230
7748	61	218	255	230
7749	255	64	242	243
7750	400	61	242	218
7751	242	64	255	230
7752	64	242	255	230
7753	51	51	242	240
7754	258	61	218	243
7755	245	61	255	230
7756	245	64	255	48
7757	245	243	51	242
7758	194	51	224	64
7759	258	51	245	243
7760	231	51	239	243
7761	258	51	242	240
7762	64	242	682	243
7763	245	64	258	230
7764	255	51	245	243
7765	258	51	239	243
7766	258	51	242	243
7767	48	242	255	230
7768	255	51	258	230
7769	255	61	242	64
7770	255	51	245	64
7771	64	255	242	243
7772	64	48	242	243
7773	255	64	224	240
7774	245	61	255	230
7775	255	64	242	233
7776	48	239	215	227
7777	64	51	242	243
7778	227	61	245	230
7779	221	61	215	240
7780	245	61	255	230
7781	51	245	255	445
7782	258	61	221	243
7783	242	64	255	230
7784	261	61	242	230
7785	255	51	67	64
7786	245	246	51	809
7787	215	64	255	230
7788	258	64	242	218
7789	245	61	255	230
7790	218	51	255	230
7791	64	258	239	234
7792	258	48	242	243
7793	218	61	242	227
7794	245	64	255	218
7795	51	245	255	230
7796	242	61	258	230
7797	242	51	258	230
7798	218	48	242	243
7799	242	64	64	64
7800	255	230	64	528
7801	221	61	255	227
7802	258	48	242	243
7803	255	64	242	221
7804	245	51	255	230
7805	51	258	258	227
7806	258	51	242	218
7807	245	64	255	230
7808	258	48	242	243
7809	48	245	255	230
7810	61	64	242	246
7811	242	61	245	233
7812	245	48	258	230
7813	258	51	242	61
7814	242	230	67	245
7815	234	51	242	64
7816	245	48	255	227
7817	258	48	242	243
7818	245	61	255	227
7819	64	255	242	579
7820	258	48	242	230
7821	258	51	966	227
7822	245	64	255	230
7823	245	64	255	230
7824	51	245	255	230
7825	258	48	242	243
7826	245	61	215	230
7827	245	64	255	230
7828	103	64	242	230
7829	64	303	231	230
7830	242	64	255	227
7831	218	64	255	230
7832	258	51	242	234
7833	258	48	54	51
7834	231	230	67	258
7835	242	64	258	218
7836	242	64	237	230
7837	215	51	252	233
7838	245	61	255	615
7839	64	245	239	227
7840	242	64	224	243
7841	245	48	255	230
7842	258	64	151	48
7843	245	237	51	245
7844	197	61	255	64
7845	245	61	255	230
7846	258	64	242	227
7847	242	64	252	230
7848	64	421	242	230
7849	48	51	242	230
7850	258	48	242	243
7851	242	51	255	227
7852	258	51	242	221
7853	51	242	255	230
7854	255	51	239	243
7855	245	64	215	240
7856	245	64	255	230
7857	242	64	67	64
7858	258	354	64	706
7859	245	64	252	227
7860	242	51	258	230
7861	242	61	258	230
7862	242	48	255	230
7863	51	242	221	243
7864	258	51	239	243
7865	218	48	242	240
7866	245	61	218	240
7867	645	64	67	64
7868	224	246	51	242
7869	245	64	227	64
7870	258	51	245	243
7871	231	48	242	246
7872	245	61	255	230
7873	48	258	258	230
7874	242	48	228	236
7875	258	51	242	243
7876	245	64	255	91
7877	258	48	54	242
7878	258	230	67	64
7879	258	61	242	243
7880	242	64	255	230
7881	255	51	221	230
7882	48	64	255	230
7883	64	242	242	243
7884	242	61	218	243
7885	255	64	242	230
7886	231	51	251	243
7887	61	245	258	227
7888	64	64	258	227
7889	221	64	255	230
7890	245	64	252	221
7891	255	48	242	64
7892	218	224	67	255
7893	245	61	215	240
7894	245	61	258	230
7895	521	61	255	621
7896	264	64	255	230
7897	64	242	255	227
7898	258	64	215	243
7899	245	61	255	230
7900	258	64	242	230
7901	48	51	239	240
7902	64	258	242	243
7903	245	64	252	230
7904	258	51	239	218
7905	258	61	394	64
7906	245	243	54	242
7907	194	51	242	64
7908	255	51	245	243
7909	242	61	258	230
7910	255	51	245	243
7911	48	242	255	230
7912	242	51	231	218
7913	245	64	255	230
7914	258	48	245	243
7915	169	51	239	243
7916	51	245	255	230
7917	258	51	242	243
7918	245	64	255	227
7919	258	51	242	243
7920	51	242	255	230
7921	64	64	224	243
7922	258	51	242	246
7923	246	48	242	243
7924	242	51	382	64
7925	258	230	64	242
7926	218	64	255	48
7927	258	64	245	240
7928	258	64	242	230
7929	221	61	255	230
7930	64	255	242	231
7931	255	51	242	218
7932	609	64	245	246
7933	255	51	151	61
7934	245	243	54	245
7935	245	64	237	51
7936	258	51	242	243
7937	245	48	255	230
7938	258	61	215	230
7939	51	248	252	230
7940	64	61	255	233
7941	227	64	231	227
7942	245	61	255	230
7943	248	61	500	48
7944	242	230	54	231
7945	242	48	258	64
7946	242	61	255	230
7947	242	51	255	230
7948	255	48	242	243
7949	51	242	252	230
7950	258	64	245	234
7951	242	61	255	230
7952	258	51	242	230
7953	94	51	227	237
7954	64	245	239	227
7955	245	61	258	230
7956	255	51	227	230
7957	255	64	148	51
7958	258	233	64	255
7959	209	61	215	51
7960	228	51	255	227
7961	227	61	245	243
7962	258	64	530	243
7963	51	245	255	230
7964	218	61	242	230
7965	242	64	258	218
7966	245	61	255	230
7967	231	64	245	243
7968	51	245	252	973
7969	245	61	255	221
7970	221	48	242	243
7971	245	64	255	221
7972	255	51	239	230
7973	64	231	242	243
7974	245	61	255	230
7975	258	48	242	240
7976	245	64	255	230
7977	64	258	242	243
7978	51	51	258	233
7979	228	48	215	230
7980	245	64	255	230
7981	242	51	682	61
7982	242	243	51	242
7983	197	64	242	64
7984	258	61	242	230
7985	258	48	245	240
7986	258	64	242	230
7987	61	245	258	230
7988	255	61	242	218
7989	245	61	255	230
7990	261	61	242	243
7991	230	64	255	230
7992	64	258	239	240
7993	245	64	252	230
7994	258	48	242	243
7995	245	61	164	64
7996	51	245	252	230
7997	51	48	239	230
7998	218	61	255	230
7999	245	64	258	230
8000	255	61	242	64
8001	245	243	51	239
8002	255	51	218	64
8003	242	61	255	945
8004	197	64	255	230
8005	255	64	218	243
8006	61	258	245	243
8007	51	51	258	230
8008	242	51	258	221
8009	245	61	255	230
8010	300	64	255	230
8011	61	258	239	234
8012	245	48	255	230
8013	221	48	255	230
8014	255	51	54	51
8015	51	255	242	230
8016	51	61	231	230
8017	218	64	239	243
8018	245	61	255	230
8019	242	61	215	61
8020	258	230	64	242
8021	258	51	242	64
8022	258	48	218	230
8023	258	51	255	227
8024	245	61	255	230
8025	64	255	242	243
8026	242	64	255	221
8027	245	51	252	233
8028	221	48	242	243
8029	461	48	242	240
8030	48	245	255	230
8031	255	51	242	240
8032	258	51	242	240
8033	242	64	255	136
8034	245	61	67	252
8035	258	230	67	61
8036	245	64	255	227
8037	245	48	228	227
8038	255	64	242	564
8039	61	51	245	243
8040	64	164	258	918
8041	255	51	245	243
8042	258	51	245	243
8043	245	61	242	221
8044	242	64	67	64
8045	258	233	64	258
8046	258	51	242	243
8047	245	64	255	230
8048	503	64	255	233
8049	245	48	255	230
8050	64	245	245	230
8051	245	64	255	230
8052	258	48	242	243
8053	245	64	252	233
8054	61	258	239	243
8055	51	64	228	233
8056	258	48	242	243
8057	258	51	215	227
8058	258	48	242	64
8059	242	243	54	242
8060	255	48	215	230
8061	255	64	245	230
8062	218	64	258	230
8063	261	64	242	227
8064	64	242	255	227
8065	231	48	242	230
8066	245	61	255	221
8067	606	64	258	51
8068	227	237	51	242
8069	258	48	242	64
8070	245	64	252	233
8071	258	48	227	240
8072	245	61	258	230
8073	64	258	239	243
8074	51	51	218	218
8075	255	48	242	243
8076	245	64	255	230
8077	952	48	245	243
8078	51	242	255	230
8079	258	51	242	243
8080	245	64	255	221
8081	255	51	245	243
8082	242	64	64	51
8083	255	230	67	215
8084	242	61	255	230
8085	245	64	255	230
8086	682	64	255	224
8087	64	245	239	230
8088	64	64	239	233
8089	242	64	255	230
8090	258	61	245	230
8091	242	64	252	64
8092	245	243	51	242
8093	248	64	218	51
8094	258	51	230	243
8095	245	61	245	230
8096	258	48	242	243
8097	51	242	218	227
8098	255	51	255	230
8099	242	64	252	227
8100	255	51	242	240
8101	185	51	239	243
8102	64	258	242	230
8103	242	64	255	230
8104	258	48	215	230
8105	258	48	251	51
8106	258	230	67	255
8107	258	230	64	61
8108	218	64	255	230
8109	242	64	258	227
8110	245	61	255	230
8111	64	64	255	230
8112	64	255	215	221
8113	245	64	255	227
8114	851	51	679	243
8115	258	51	148	61
8116	242	246	54	245
8117	242	170	67	61
8118	258	51	242	246
8119	258	51	242	240
8120	245	64	231	230
8121	48	51	242	243
8122	51	242	255	230
8123	258	48	215	230
8124	258	61	330	243
8125	242	61	164	51
8126	51	258	239	227
8127	64	61	255	227
8128	245	61	255	230
8129	255	51	242	218
8130	258	61	245	230
8131	64	255	215	221
8132	258	48	245	243
8133	245	64	255	230
8134	258	61	242	239
8135	258	48	51	255
8136	245	230	51	64
8137	258	48	242	243
8138	258	48	242	234
8139	245	61	255	227
8140	91	51	242	243
8141	61	242	255	230
8142	255	64	245	243
8143	245	64	397	243
8144	255	64	239	227
8145	51	255	242	227
8146	51	64	255	230
8147	242	64	255	230
8148	242	61	255	51
8149	242	64	252	230
8150	64	255	242	234
8151	218	51	245	243
8152	242	61	215	243
8153	255	64	242	230
8154	64	64	252	227
8155	64	139	218	230
8156	258	51	245	243
8157	221	48	255	230
8158	255	51	245	240
8159	48	242	255	230
8160	64	51	227	240
8161	258	64	239	234
8162	248	61	506	243
8163	228	51	242	64
8164	258	230	64	239
8165	197	61	255	48
8166	258	48	242	243
8167	258	64	242	243
8168	258	51	255	230
8169	51	258	218	231
8170	245	61	255	227
8171	258	64	245	230
8172	242	64	228	230
8173	258	51	245	243
8174	48	245	258	230
8175	258	51	242	240
8176	245	61	255	227
8177	258	51	151	64
8178	245	243	51	218
8179	197	61	258	51
8180	242	64	255	230
8181	258	48	563	240
8182	242	64	255	230
8183	51	242	255	230
8184	64	61	252	227
8185	258	64	242	48
8186	231	51	239	240
8187	255	51	239	64
8188	242	230	51	228
8189	194	51	245	64
8190	242	64	258	230
8191	242	48	255	230
8192	245	64	224	243
8193	61	258	242	243
8194	242	64	258	230
8195	242	51	218	227
8196	245	64	258	230
8197	215	64	133	51
8198	218	230	67	224
8199	258	51	242	243
8200	218	48	651	243
8201	242	61	255	221
8202	255	51	242	243
8203	51	218	245	243
8204	245	64	255	221
8205	245	61	242	230
8206	245	51	167	64
8207	64	261	239	221
8208	61	64	245	243
8209	242	64	218	243
8210	240	51	245	243
8211	242	64	255	51
8212	258	224	64	242
8213	194	61	255	51
8214	255	51	239	230
8215	258	61	242	237
8216	255	48	239	230
8217	64	215	242	230
8218	218	51	258	230
8219	255	64	242	458
8220	245	48	255	230
8221	240	51	242	61
8222	245	246	51	1291
8223	197	48	242	243
8224	236	61	255	230
8225	258	48	242	243
8226	258	61	242	227
8227	64	239	215	230
8228	51	51	255	230
8229	312	64	255	233
8230	242	61	215	230
8231	258	48	242	243
8232	64	255	242	230
8233	255	51	239	240
8234	258	61	245	230
8235	245	51	255	230
8236	48	64	234	230
8237	61	64	245	230
8238	255	61	242	445
8239	245	48	258	221
8240	258	51	239	64
8241	242	243	51	242
8242	197	61	255	48
8243	255	51	255	230
8244	258	51	242	243
8245	258	48	242	230
8246	64	255	242	230
8247	242	64	255	230
8248	363	64	255	233
8249	245	61	258	230
8250	64	64	215	243
8251	51	258	255	230
8252	258	51	242	243
8253	245	61	255	230
8254	258	51	245	149
8255	242	61	67	255
8256	255	230	64	64
8257	255	64	242	561
8258	255	48	242	240
8259	1163	61	255	227
8260	51	228	242	243
8261	64	64	255	230
8262	245	64	252	230
8263	258	48	215	51
8264	258	51	242	230
8265	64	258	242	243
8266	255	51	215	230
8267	482	64	252	233
8268	242	64	258	230
8269	255	51	85	51
8270	242	230	54	242
8271	261	48	242	243
8272	245	61	258	221
8273	258	51	242	243
8274	245	61	224	230
8275	51	242	258	230
8276	242	64	255	612
8277	255	48	242	243
8278	242	64	164	51
8279	258	230	67	242
8280	255	51	239	64
8281	255	48	242	243
8282	258	48	242	243
8283	255	51	227	227
8284	51	245	255	230
8285	61	64	239	227
8286	557	64	252	233
8287	258	51	242	243
8288	242	64	255	61
8289	255	230	67	255
8290	245	61	242	230
8291	218	61	255	230
8292	242	64	252	233
8293	279	64	218	230
8294	61	258	255	230
8295	245	64	258	230
8296	1097	51	218	230
8297	245	64	161	51
8298	64	255	242	243
8299	51	48	242	240
8300	258	48	242	243
8301	245	64	234	230
8302	255	51	242	64
8303	51	242	258	230
8304	255	51	218	233
8305	660	64	252	233
8306	224	48	255	227
8307	197	64	242	243
8308	51	242	255	230
8309	215	64	242	230
8310	245	64	255	218
8311	258	64	242	91
8312	64	64	218	240
8313	61	255	252	221
8314	242	64	255	233
8315	237	51	242	243
8316	258	48	242	230
8317	61	261	242	233
8318	48	48	215	233
8319	258	51	245	243
8320	245	48	258	230
8321	245	61	215	61
8322	51	242	255	230
8323	261	51	242	243
8324	245	61	203	243
8325	242	61	164	51
8326	245	243	54	245
8327	258	64	242	64
8328	245	64	252	224
8329	245	48	255	230
8330	218	48	242	243
8331	61	258	215	218
8332	64	51	242	243
8333	485	64	239	667
8334	255	64	239	227
8335	255	51	255	230
8336	51	231	221	230
8337	255	51	239	243
8338	245	61	255	230
8339	242	64	228	230
8340	48	51	255	230
8341	64	255	242	243
8342	242	64	215	243
8343	245	64	309	243
8344	245	61	255	230
8345	51	248	252	221
8346	64	64	255	230
8347	242	61	252	233
8348	258	51	242	218
8349	245	64	255	227
8350	64	258	221	227
8351	242	64	255	221
8352	255	51	245	243
8353	242	64	167	64
8354	258	230	64	255
8355	242	61	245	51
8356	242	64	252	230
8357	258	48	242	243
8358	245	61	255	230
8359	64	255	242	243
8360	64	64	242	227
8361	261	61	245	230
8362	255	48	300	230
8363	258	64	242	51
8364	245	243	51	242
8365	258	51	218	230
8366	258	48	245	243
8367	255	64	245	246
8368	400	61	255	230
8369	64	258	227	234
8370	245	64	255	233
8371	242	64	255	230
8372	245	48	258	91
8373	258	51	54	242
8374	242	243	51	51
8375	255	51	242	243
8376	258	61	242	243
8377	258	48	242	230
8378	51	242	255	230
8379	64	61	258	230
8380	242	64	227	240
8381	255	51	460	243
8382	242	64	255	61
8383	255	230	64	239
8384	245	64	252	230
8385	227	48	255	230
8386	242	61	215	240
8387	245	51	255	230
8388	51	255	261	221
8389	255	51	239	240
8390	258	61	245	230
8391	221	61	258	230
8392	64	258	242	234
8393	51	51	242	230
8394	255	51	239	243
8395	245	61	255	230
8396	258	48	245	64
8397	242	224	67	258
8398	194	61	255	64
8399	255	61	242	243
8400	255	51	494	230
8401	242	64	255	230
8402	61	258	242	243
8403	242	64	255	230
8404	255	48	242	243
8405	369	51	258	230
8406	258	64	245	51
8407	242	230	51	228
8408	255	64	245	51
8409	255	64	239	233
8410	218	48	255	230
8411	258	61	242	243
8412	64	242	255	221
8413	258	64	242	243
8414	245	64	255	230
8415	258	61	242	231
8416	51	245	258	230
8417	64	64	255	230
8418	242	61	252	233
8419	258	48	651	243
8420	258	51	242	64
8421	64	258	242	240
8422	51	51	242	243
8423	261	64	245	230
8424	242	64	255	227
8425	258	48	242	61
8426	258	233	67	231
8427	230	64	255	51
8428	245	51	255	230
8429	215	64	218	230
8430	242	64	255	233
8431	61	255	242	240
8432	245	64	218	243
8433	255	51	242	230
8434	231	51	239	240
8435	258	51	51	51
8436	228	230	67	70
8437	215	64	239	243
8438	258	48	242	458
8439	255	51	245	243
8440	54	51	255	230
8441	51	245	937	224
8442	242	61	255	230
8443	242	51	234	230
8444	255	61	242	240
8445	245	61	67	61
8446	258	224	64	176
8447	242	64	258	230
8448	288	64	255	230
8449	242	61	255	224
8450	149	64	252	233
8451	48	245	255	230
8452	255	61	242	234
8453	242	64	255	230
8454	258	48	242	64
8455	228	224	67	242
8456	215	64	255	51
8457	242	64	252	448
8458	255	51	242	243
8459	245	61	242	230
8460	61	255	242	240
8461	51	64	255	230
8462	255	51	245	243
8463	242	64	242	230
8464	242	64	255	230
8465	48	255	242	230
8466	242	64	234	230
8467	336	64	255	233
8468	255	51	154	64
8469	258	233	64	258
8470	242	64	255	51
8471	240	48	242	240
8472	242	51	231	230
8473	242	64	258	233
8474	61	218	258	230
8475	64	64	242	218
8476	261	61	242	542
8477	215	51	255	230
8478	242	61	927	51
8479	255	230	64	255
8480	245	64	252	51
8481	255	51	242	243
8482	245	64	242	230
8483	255	51	242	243
8484	51	242	221	230
8485	51	48	242	240
8486	446	48	242	243
8487	255	51	215	230
8488	242	61	258	227
8489	64	242	242	230
8490	255	61	242	240
8491	245	61	255	230
8492	218	61	151	51
8493	242	234	54	218
8494	255	64	245	64
